Proxy port,Type,Status,Zone,Targeting,Success,BW,Requests
24241,persist,ok,il_mobile_1,il,110,1577215,123
24242,persist,ok,il_mobile_1,il,1,1245,1
24243,persist,ok,il_mobile_1,il,116,1332321,129
24244,persist,ok,il_mobile_1,il,259,2443440,259
24245,persist,ok,il_mobile_1,il,182,1922446,184
24246,persist,ok,il_mobile_1,il,84,1314827,97
24247,persist,ok,il_mobile_1,il,109,1519098,123
24248,persist,ok,il_mobile_1,il,275,2883112,275
24249,persist,ok,il_mobile_1,il,184,2125270,184
24250,persist,ok,il_mobile_1,il,416,6335430,418
24251,persist,ok,il_mobile_1,il,116,1729751,116
24252,persist,ok,il_mobile_1,il,201,1993144,201
24253,persist,ok,il_mobile_1,il,320,3509397,325
24254,persist,ok,il_mobile_1,il,1,1252,1
24255,persist,ok,il_mobile_1,il,578,6244173,580
24256,persist,ok,il_mobile_1,il,1,1248,1
24257,persist,ok,il_mobile_1,il,131,2142502,131
24258,persist,ok,il_mobile_1,il,75,596667,75
24259,persist,ok,il_mobile_1,il,237,2677397,239
24260,persist,ok,il_mobile_1,il,135,2267881,135
24261,persist,ok,il_mobile_1,il,123,1708319,123
24262,persist,ok,il_mobile_1,il,155,2255861,155
24263,persist,ok,il_mobile_1,il,1,1252,1
24264,persist,ok,il_mobile_1,il,92,762734,92
24265,persist,ok,il_mobile_1,il,199,3039927,201
24266,persist,ok,il_mobile_1,il,191,1597429,191
24267,persist,ok,il_mobile_1,il,129,1576842,129
24268,persist,ok,il_mobile_1,il,148,1516678,149
24269,persist,ok,il_mobile_1,il,235,3202181,235
24270,persist,ok,il_mobile_1,il,84,1363202,84
24271,persist,ok,il_mobile_1,il,84,1127577,84
24272,persist,ok,il_mobile_1,il,227,1549211,227
24273,persist,ok,il_mobile_1,il,122,2046181,122
24274,persist,ok,il_mobile_1,il,148,2749066,148
24275,persist,ok,il_mobile_1,il,180,2199453,180
24276,persist,ok,il_mobile_1,il,1,1251,1
24277,persist,ok,il_mobile_1,il,222,4108760,222
24278,persist,ok,il_mobile_1,il,107,1497762,107
24279,persist,ok,il_mobile_1,il,1,1243,1
24280,persist,ok,il_mobile_1,il,208,1282945,208
24281,persist,ok,il_mobile_1,il,1,1871,2
24282,persist,ok,il_mobile_1,il,115,1716081,128
24283,persist,ok,il_mobile_1,il,133,1680380,133
24284,persist,ok,il_mobile_1,il,1,1272,1
24285,persist,ok,il_mobile_1,il,252,3224461,252
24286,persist,ok,il_mobile_1,il,164,2035326,166
24287,persist,ok,il_mobile_1,il,173,2046329,173
24288,persist,ok,il_mobile_1,il,1,1252,1
24289,persist,ok,il_mobile_1,il,1,1249,1
24290,persist,ok,il_mobile_1,il,213,1922292,213
24291,persist,ok,il_mobile_1,il,181,1847053,181
24292,persist,ok,il_mobile_1,il,95,1088861,95
24293,persist,ok,il_mobile_1,il,118,1306194,118
24294,persist,ok,il_mobile_1,il,152,2898738,153
24295,persist,ok,il_mobile_1,il,150,1845008,151
24296,persist,ok,il_mobile_1,il,165,2847106,165
24297,persist,ok,il_mobile_1,il,1,1250,1
24298,persist,ok,il_mobile_1,il,180,2060643,180
24299,persist,ok,il_mobile_1,il,197,3634025,197
24300,persist,ok,il_mobile_1,il,210,2567263,223
24301,persist,ok,il_mobile_1,il,172,1828635,172
24302,persist,ok,il_mobile_1,il,2,2484,2
24303,persist,ok,il_mobile_1,il,171,2166250,174
24304,persist,ok,il_mobile_1,il,125,1617444,125
24305,persist,ok,il_mobile_1,il,4,17614,4
24306,persist,ok,il_mobile_1,il,71,600812,73
24307,persist,ok,il_mobile_1,il,3,16418,3
24308,persist,ok,il_mobile_1,il,3,16409,3
24309,persist,ok,il_mobile_1,il,136,1398021,136
24310,persist,ok,il_mobile_1,il,59,381686,59
24311,persist,ok,il_mobile_1,il,185,2040071,185
24312,persist,ok,il_mobile_1,il,109,1206636,111
24313,persist,ok,il_mobile_1,il,71,617955,71
24314,persist,ok,il_mobile_1,il,2,3126,3
24315,persist,ok,il_mobile_1,il,4,17604,4
24316,persist,ok,il_mobile_1,il,162,1400740,165
24317,persist,ok,il_mobile_1,il,3,3613,3
