מצב עסקה,תאריך יצירה,סכום לחיוב,האם ליצור חשבונית,שם מוצר,ערך משתמש להחזרה
הצלחה,17/11/2019 14:30,13,מסומן,200 קניית לייקים לאינסטגרם ב-13₪,925
הצלחה,20/11/2019 20:18,13,מסומן,200 קניית לייקים לאינסטגרם ב-13₪,969
הצלחה,21/11/2019 10:25,13,מסומן,800 Instagram Post likes for 13$,220
הצלחה,22/11/2019 16:18,13,מסומן,200 קניית לייקים לאינסטגרם ב-13₪,992
הצלחה,30/11/2019 15:33,13,מסומן,200 קניית לייקים לאינסטגרם ב-13₪,1088
הצלחה,09/12/2019 10:23,13,מסומן,200 קניית לייקים לאינסטגרם ב-13₪,1203
הצלחה,09/12/2019 10:33,13,מסומן,200 קניית לייקים לאינסטגרם ב-13₪,1205
הצלחה,05/11/2019 15:13,14,מסומן,200 קניית לייקים לאינסטגרם ב-14₪,771
הצלחה,15/11/2019 12:34,14,מסומן,200 קניית לייקים לאינסטגרם ב-14₪,893
הצלחה,16/11/2019 05:55,14,מסומן,200 קניית לייקים לאינסטגרם ב-14₪,908
הצלחה,19/11/2019 17:59,14,מסומן,200 קניית לייקים לאינסטגרם ב-14₪,950
הצלחה,23/11/2019 08:23,14,מסומן,200 קניית לייקים לאינסטגרם ב-14₪,998
הצלחה,23/11/2019 19:04,14,מסומן,300 קניית עוקבים לפרופיל פרטי בפייסבוק ב-14₪,1008
הצלחה,05/12/2019 13:05,14,מסומן,200 קניית לייקים לאינסטגרם ב-14₪,1142
הצלחה,02/11/2019 17:01,15,מסומן,1000 Instagram Followers for 15$,163
הצלחה,27/11/2019 17:39,15,מסומן,1000 Instagram Followers for 15$,238
הצלחה,04/11/2019 04:18,17,מסומן,1000 Instagram Post likes for 17$,176
הצלחה,08/11/2019 21:41,17,מסומן,300 קניית עוקבים באינסטגרם ב-17₪,809
הצלחה,09/11/2019 20:43,17,מסומן,300 קניית עוקבים באינסטגרם ב-17₪,817
הצלחה,11/11/2019 09:24,17,מסומן,300 קניית עוקבים באינסטגרם ב-17₪,831
הצלחה,12/11/2019 12:33,17,מסומן,300 קניית עוקבים באינסטגרם ב-17₪,851
הצלחה,21/11/2019 02:10,17,מסומן,300 קניית עוקבים באינסטגרם ב-17₪,974
הצלחה,30/11/2019 18:53,17,מסומן,300 קניית עוקבים באינסטגרם ב-17₪,1092
הצלחה,04/12/2019 16:13,17,מסומן,300 קניית עוקבים באינסטגרם ב-17₪,1132
הצלחה,09/12/2019 23:40,17,מסומן,300 קניית עוקבים באינסטגרם ב-17₪,1218
הצלחה,22/11/2019 14:11,19,מסומן,300 קניית לייקים לאינסטגרם ב-19₪,989
הצלחה,03/12/2019 22:45,19,מסומן,300 קניית לייקים לאינסטגרם ב-19₪,1126
הצלחה,06/12/2019 19:33,19,מסומן,300 קניית לייקים לאינסטגרם ב-19₪,1174
הצלחה,04/11/2019 20:52,20,מסומן,40 תגובות לאינסטגרם ב-20₪,763
הצלחה,18/11/2019 05:02,20,מסומן,1000 Instagram Post likes for 20$,212
הצלחה,28/11/2019 08:58,20,מסומן,100 לייקים ישראלים לאינסטגרם ב-20₪,1061
הצלחה,28/11/2019 12:11,20,מסומן,100 לייקים ישראלים לאינסטגרם ב-20₪,1067
הצלחה,01/12/2019 21:37,20,מסומן,100 לייקים ישראלים לאינסטגרם ב-20₪,1114
הצלחה,03/11/2019 07:12,21,מסומן,1500 Instagram Post likes for 21$,169
הצלחה,10/12/2019 19:20,21,מסומן,1500 Instagram Post likes for 21$,264
הצלחה,01/11/2019 18:34,22,מסומן,400 קניית עוקבים באינסטגרם ב-22₪,724
הצלחה,02/11/2019 17:29,22,מסומן,400 קניית עוקבים באינסטגרם ב-22₪,736
הצלחה,14/11/2019 15:52,22,מסומן,400 קניית עוקבים באינסטגרם ב-22₪,876
הצלחה,14/11/2019 23:23,22,מסומן,400 קניית עוקבים באינסטגרם ב-22₪,881
הצלחה,28/11/2019 19:00,22,מסומן,400 קניית עוקבים באינסטגרם ב-22₪,1072
הצלחה,01/12/2019 12:24,22,מסומן,400 קניית עוקבים באינסטגרם ב-22₪,1102
הצלחה,09/12/2019 18:54,22,מסומן,400 קניית עוקבים באינסטגרם ב-22₪,1214
הצלחה,20/11/2019 10:32,23,מסומן,2500 קניית צפיות לסרטונים בפייסבוק ב-23₪,962
הצלחה,05/11/2019 09:43,25,מסומן,1800 Instagram Post likes for 25$,178
הצלחה,07/11/2019 11:36,25,מסומן,500 קניית לייקים לאינסטגרם ב-25₪,791
הצלחה,18/11/2019 00:06,25,מסומן,500 קניית לייקים לאינסטגרם ב-25₪,934
הצלחה,18/11/2019 14:15,25,מסומן,500 קניית לייקים לאינסטגרם ב-25₪,937
